"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8238","Баг с фильтрацией по цене @ProductPage","chromium","Wed Jul 09 16:15:55 GMT 2025","passed","Wed Jul 09 16:16:04 GMT 2025","","tests.spec.js","",""
"","8436","Баг с загрузкой в разделе горящие предложения @ProductPage","chromium","Wed Jul 09 16:16:21 GMT 2025","passed","Wed Jul 09 16:16:30 GMT 2025","","tests.spec.js","",""
"","15584","Баг при общей стоимости больше 100 @consumerCart","chromium","Wed Jul 09 16:16:30 GMT 2025","passed","Wed Jul 09 16:16:45 GMT 2025","","tests.spec.js","",""
"","11744","Баг при увеличении количества товара в корзине @consumerCart","chromium","Wed Jul 09 16:16:09 GMT 2025","passed","Wed Jul 09 16:16:21 GMT 2025","","tests.spec.js","",""
"","5712","Баг с описанием на странице товара @ProductPage","chromium","Wed Jul 09 16:16:04 GMT 2025","passed","Wed Jul 09 16:16:09 GMT 2025","","tests.spec.js","",""
