"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11151","Баг при увеличении количества товара в корзине","chromium","Wed Jul 09 19:05:55 GMT 2025","passed","Wed Jul 09 19:06:06 GMT 2025","","tests.spec.js","",""
"","5342","Баг с описанием на странице товара","chromium","Wed Jul 09 19:06:22 GMT 2025","passed","Wed Jul 09 19:06:27 GMT 2025","","tests.spec.js","",""
"","5891","Баг с загрузкой в разделе горящие предложения","chromium","Wed Jul 09 19:06:27 GMT 2025","passed","Wed Jul 09 19:06:33 GMT 2025","","tests.spec.js","",""
"","6854","Баг с фильтрацией по цене","chromium","Wed Jul 09 19:06:15 GMT 2025","passed","Wed Jul 09 19:06:22 GMT 2025","","tests.spec.js","",""
"","8379","Баг при общей стоимости больше 100","chromium","Wed Jul 09 19:06:06 GMT 2025","passed","Wed Jul 09 19:06:15 GMT 2025","","tests.spec.js","",""
