"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6488","Баг с фильтрацией по цене","chromium","Thu Jul 10 10:57:09 GMT 2025","passed","Thu Jul 10 10:57:15 GMT 2025","","","",""
"","10286","Баг при увеличении количества товара в корзине","chromium","Thu Jul 10 10:56:47 GMT 2025","passed","Thu Jul 10 10:56:57 GMT 2025","","","",""
"","4482","Баг с описанием на странице товара","chromium","Thu Jul 10 10:57:15 GMT 2025","passed","Thu Jul 10 10:57:20 GMT 2025","","","",""
"","8716","Баг при общей стоимости больше 100","chromium","Thu Jul 10 10:57:00 GMT 2025","passed","Thu Jul 10 10:57:09 GMT 2025","","","",""
"","5735","Баг с загрузкой в разделе горящие предложения","chromium","Thu Jul 10 10:57:20 GMT 2025","passed","Thu Jul 10 10:57:25 GMT 2025","","","",""
