"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7752","Баг с загрузкой в разделе горящие предложения","chromium","Wed Jul 09 19:48:03 GMT 2025","passed","Wed Jul 09 19:48:11 GMT 2025","","","",""
"","5666","Баг с описанием на странице товара","chromium","Wed Jul 09 19:47:58 GMT 2025","passed","Wed Jul 09 19:48:03 GMT 2025","","","",""
"","8709","Баг с фильтрацией по цене","chromium","Wed Jul 09 19:47:49 GMT 2025","passed","Wed Jul 09 19:47:58 GMT 2025","","","",""
"","26464","Баг при увеличении количества товара в корзине","chromium","Wed Jul 09 19:47:03 GMT 2025","passed","Wed Jul 09 19:47:30 GMT 2025","","","",""
"","19062","Баг при общей стоимости больше 100","chromium","Wed Jul 09 19:47:30 GMT 2025","passed","Wed Jul 09 19:47:49 GMT 2025","","","",""
