"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16199","Баг при увеличении количества товара в корзине","chromium","Wed Jul 09 19:36:15 GMT 2025","passed","Wed Jul 09 19:36:32 GMT 2025","","tests.spec.js","",""
"","7451","Баг с загрузкой в разделе горящие предложения","chromium","Wed Jul 09 19:36:56 GMT 2025","passed","Wed Jul 09 19:37:03 GMT 2025","","tests.spec.js","",""
"","11718","Баг при общей стоимости больше 100","chromium","Wed Jul 09 19:36:32 GMT 2025","passed","Wed Jul 09 19:36:44 GMT 2025","","tests.spec.js","",""
"","5026","Баг с описанием на странице товара","chromium","Wed Jul 09 19:36:51 GMT 2025","passed","Wed Jul 09 19:36:56 GMT 2025","","tests.spec.js","",""
"","7407","Баг с фильтрацией по цене","chromium","Wed Jul 09 19:36:44 GMT 2025","passed","Wed Jul 09 19:36:51 GMT 2025","","tests.spec.js","",""
